gyarto;tipus;uzemanyag;motorccm;motorle;motornyomatek;vegsebesseg;gyorsulas;sebessegvalto;vegyesfogyasztas;utasokszama
Ford;C_Max;benzin;1600;125;159;188;11.5;5;6.4;5
Ford;Grand_C_Max;dízel;2000;140;320;198;10.5;6;5.7;7
Ford;Focus_CabrioletII;benzin;1999;145;190;198;11.9;5;8.3;4
Ford;GT;benzin;5409;557;678;330;3.6;6;16.1;2
Ford;Mondeo;dízel;1997;150;350;213;9.9;6;4.8;5
Ford;Shelby_GT;benzin;5382;506;610;250;4.8;6;15.2;4
Ford;Focus_III;dízel;1997;150;370;212;8.8;6;4.0;5
Ford;Edge;dízel;1997;180;400;200;9.9;6;5.8;5
Ford;Fiesta;benzin;998;125;170;195;9.9;6;4.3;5
Ford;Mustang;benzin;4942;218;386;246;4.6;5;13.5;4
Opel;Astra_F;benzin;1598;101;150;190;11.5;5;6.9;5
Opel;Astra_G;dízel;1686;80;170;168;14.5;5;4.8;5
Opel;Astra_H;benzin;1598;115;155;191;11.7;5;6.6;5
Opel;Insignia;benzin;1490;165;250;222;8.9;6;6.0;5
Opel;Zafira_B;dízel;1910;120;280;186;12.2;6;6.2;7
Hyundai;i10;benzin;1248;87;120;171;12.3;5;4.9;5
Hyundai;i40;dízel;1685;136;325;198;10.6;6;5.1;5
Suzuki;Swift;benzin;1248;70;170;165;14.2;5;4.8;5
Suzuki;SX4;benzin;1373;140;220;200;9.5;6;5.4;5
Suzuki;Baleno;benzin;1242;90;120;180;12.3;5;4.2;5
Suzuki;Ignis;benzin;1490;99;133;170;10.4;5;6.8;5
Seat;Toledo;dízel;1896;105;250;183;12.4;5;5.5;5
Seat;Cordoba;benzin;1390;75;128;170;12.9;5;6.5;5
Audi;A4;dízel;1968;190;400;240;7.7;6;4.5;5
Audi;Q7;dízel;5934;500;1000;250;5.5;6;11.5;5
Audi;A6;benzin;2773;204;280;240;8.3;7;8.0;5
Peugeot;806;benzin;1997;136;190;186;11.9;5;9.2;7
Peugeot;306_Cabrio;benzin;1761;110;155;189;12.5;5;8.2;4
Peugeot;206;benzin;1587;88;135;185;12.6;5;6.8;5
Trabant;601;benzin;594;26;54;110;19.5;4;9.0;4
Dacia;Duster;dízel;1461;109;260;169;11.8;5;4.4;5
Dacia;Logan;benzin;898;90;140;175;11.1;5;4.9;5
